+-------+-----+-----+--------+--------------------------------+--------+--------+---------+--------+--------+
| COUNT | 4XX | 5XX | METHOD |              URI               |  MIN   |  MAX   |   SUM   |  AVG   |  P99   |
+-------+-----+-----+--------+--------------------------------+--------+--------+---------+--------+--------+
|   416 |   4 |   0 | GET    | /api/livestream/[0-9]+         |  0.004 |  6.960 | 229.068 |  0.551 |  2.560 |
|   422 |   8 |   0 | POST   | /api/livestream/[0-9]+         |  0.004 | 17.728 | 194.276 |  0.460 |  6.140 |
|  1609 |   2 |   0 | GET    | /api/user/.+/icon              |  0.004 |  1.296 | 162.388 |  0.101 |  0.736 |
|     6 |   4 |   0 | GET    | /api/user/.+/statistics        |  2.933 | 20.000 |  76.305 | 12.718 | 20.000 |
|    36 |   1 |   0 | GET    | /api/livestream/search         |  0.072 |  4.716 |  59.788 |  1.661 |  4.716 |
|   130 |   2 |   1 | POST   | /api/register                  |  0.008 |  1.640 |  49.064 |  0.377 |  1.336 |
|    60 |   4 |   0 | POST   | /api/livestream/reservation    |  0.320 |  2.388 |  44.608 |  0.743 |  2.388 |
|   124 |   0 |   0 | POST   | /api/icon                      |  0.012 |  0.980 |  23.736 |  0.191 |  0.920 |
|     1 |   0 |   0 | POST   | /api/initialize                | 13.112 | 13.112 |  13.112 | 13.112 | 13.112 |
|    55 |   0 |   0 | GET    | /api/livestream                |  0.012 |  0.904 |  12.856 |  0.234 |  0.904 |
|   135 |   2 |   0 | POST   | /api/login                     |  0.004 |  0.960 |  11.076 |  0.082 |  0.640 |
|    38 |   0 |   0 | GET    | /api/tag                       |  0.004 |  0.524 |   4.688 |  0.123 |  0.524 |
|    14 |   0 |   0 | DELETE | /api/livestream/[0-9]+         |  0.004 |  0.340 |   1.048 |  0.075 |  0.340 |
|     1 |   1 |   0 | POST   | /Autodiscover/Autodiscover.xml |  0.301 |  0.301 |   0.301 |  0.301 |  0.301 |
|     5 |   0 |   0 | GET    | /api/user/.+/theme             |  0.008 |  0.136 |   0.260 |  0.052 |  0.136 |
|     1 |   0 |   0 | GET    | /api/payment                   |  0.008 |  0.008 |   0.008 |  0.008 |  0.008 |
|     1 |   0 |   0 | GET    | /api/user/test                 |  0.004 |  0.004 |   0.004 |  0.004 |  0.004 |
|     3 |   0 |   0 | GET    | /api/user/me                   |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |
+-------+-----+-----+--------+--------------------------------+--------+--------+---------+--------+--------+
